ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0001667,ameboidal-type cell migration,200/4834,458/18112,1.6480601179061279e-15,1.084423557582232e-11,7.700777750931896e-12,85272/362930/24483/24356/360272/24790/300289/361764/305471/50672/24392/25682/293649/301346/207122/298594/680066/501099/306873/24957/29560/294503/81722/307618/64468/140581/362171/171357/312781/301363/29681/303901/24451/29279/25159/24855/64373/24660/24185/64444/64202/361568/308766/25112/81526/29348/361632/300721/56718/117273/83805/24874/314148/83572/89805/296072/50646/300455/296179/290562/25537/171356/114098/296789/316521/24482/361069/114850/63995/84609/81823/25317/311144/24771/691426/361324/24918/29431/305987/171374/25236/114111/315713/360820/365037/311384/361341/25227/360468/117033/170582/114502/84580/25622/679819/365865/282844/81531/64204/114514/114110/366669/85471/366508/79121/114500/287931/29361/498764/301509/362842/360606/25296/29180/50557/300339/307449/29751/25694/245921/81732/311071/192126/292401/64030/100361376/64637/290537/79210/24516/25496/85489/100363275/297480/25614/317181/64185/24807/24404/29386/311494/299284/83501/64303/499497/24323/312670/315120/140590/303200/294400/192270/445442/310999/287774/361920/192248/309429/309757/295105/24241/24816/81830/24835/685781/362860/60427/303604/292804/84050/65157/312566/24716/84582/500464/113984/295234/25661/501841/689008/293710/89807/494345/58946/313587/293046/114215/83684/25414/81745/292658/362317/79558/64535/25509/24326/25240/29616/117183/171369,200
BP,GO:0007409,axonogenesis,211/4834,493/18112,3.624492686680508e-15,1.1924580939178872e-11,8.467959492723568e-12,307251/85272/304286/54278/360272/65172/314423/93667/361764/25183/83721/25367/301346/25751/29227/29477/25595/501099/192183/289201/266777/287989/314641/60630/81822/308690/65196/314904/29588/65047/64665/252833/304913/313155/303901/296467/25416/29409/24855/171572/25012/24660/64444/64312/84394/140908/84407/295401/289229/24205/83572/315615/29457/307403/171287/362750/291709/290562/296789/360635/64622/114850/84609/303311/117242/305571/303206/29254/691317/311144/305679/100910729/192362/361324/363067/266729/309376/299996/25398/170915/25531/54239/29431/317268/89816/361517/25275/60328/680427/311384/25529/171086/311024/65178/497815/25622/24882/362733/25152/116658/305719/60589/116690/25431/302965/114514/363062/306147/299236/315217/85471/315196/81737/24596/305589/114500/292732/114090/25495/309349/140588/50557/361096/81735/497078/311236/29751/81732/311071/25298/290447/84358/117258/501069/29456/310192/84009/29423/50677/690853/25496/24370/690516/297480/25614/114208/114589/303823/307940/362572/299799/29216/29686/362873/83501/499497/302863/24323/64551/312213/246212/310960/140590/450224/361833/360921/361450/290467/156726/65050/316085/313388/307350/306534/316539/289048/366889/300231/170851/308739/81830/313633/79559/56761/50554/24716/24224/25661/312275/83466/295475/25054/64572/360546/289392/58946/140933/295382/89828/286994/64301/307833/24225/366205/58853/171355/24338/25509/24326/29616/24408,211
BP,GO:0034329,cell junction assembly,195/4834,452/18112,1.6023084463466672e-14,3.5143965256536905e-11,2.4956656818711778e-11,353230/84403/266734/315546/83721/116479/294380/171393/24392/309659/207122/298594/29477/688721/501099/84351/192183/116595/297514/499443/266777/287989/29755/81707/81822/307618/140581/287986/311163/65047/680717/361921/366474/64665/24936/301363/100363276/170641/310533/25466/300920/25012/24660/65096/66026/300519/140908/84407/117273/83805/307582/192129/363948/50646/66013/171287/291709/685472/25537/171337/29181/64622/361069/498003/64353/116508/114850/691149/113970/65129/362235/85265/24771/305679/304124/25398/286928/54239/685611/25554/171093/60391/313494/360820/117096/299979/25479/50555/25529/29645/24316/84588/84353/25622/365865/363058/306055/498922/116490/60351/64204/116690/313156/29182/114514/29219/306147/299236/315217/287099/117523/79121/287931/29138/287098/498515/301509/171447/298487/309349/24397/50557/302328/59312/170910/301289/315840/81732/58868/60445/29456/315346/29423/50677/499947/81516/84685/306439/500280/295347/25614/317181/50563/114589/499668/26955/299138/29386/305332/83501/499497/58834/360950/246212/291388/29705/290467/170908/301309/81005/689710/501083/24835/54308/64845/84022/313633/306183/29709/84050/84582/24224/114634/25513/25661/501841/84426/25054/65261/25252/24922/25404/171500/81749/83684/24225/81745/366205/24338/287876/24952/641521/56768/24408/303798,195
BP,GO:0007264,small GTPase mediated signal transduction,189/4834,444/18112,1.8682233377452121e-13,3.073227390590874e-10,2.1823798411186838e-10,296456/360272/303350/24708/300289/25183/116479/315121/85428/24942/25751/312477/25482/287707/362257/306934/365216/24917/59295/691418/314904/64665/360521/301363/84352/303351/78966/24451/315055/310533/303222/303298/307500/309922/300444/24855/64373/314903/287543/140693/361568/308023/289229/117273/83805/50866/291610/500906/315530/295588/260326/313438/63994/307098/171381/171565/500985/25537/171337/296380/24482/315668/362817/360797/685244/29491/361674/266729/286928/303836/367085/25531/29431/305987/25577/298298/81504/361987/317219/83709/689883/307016/293497/767613/24525/304193/24629/59326/306380/84014/29434/309451/24596/79121/24335/361617/362842/360606/296211/309722/302373/367072/679082/84589/315639/192126/316258/100361376/84009/293024/24516/690853/25496/302495/295347/313845/308509/29372/81821/24925/299799/313210/289080/359959/83501/58834/60336/312915/252857/365793/311913/690538/315992/246212/303141/311193/81754/310999/365355/300128/363140/313388/192248/50938/309548/309429/361442/689710/170851/26295/29492/81757/312664/302378/60427/313633/305156/292912/361714/24673/360481/25530/287633/308821/361503/499672/305367/58946/116744/298545/360720/304883/56785/287156/305675/303634/312113/116546/24326/362993/100361774/362770/170818/116691/54260/114851/291713/362111/360519,189
BP,GO:0042391,regulation of membrane potential,202/4834,488/18112,7.106153028712867e-13,9.351697385786132e-10,6.640887009359246e-10,25722/65195/27150/266734/114245/83721/315611/367302/24392/24412/25297/309953/116638/29628/29710/29477/140447/25650/25369/296374/29335/116502/24410/25177/171131/293860/25468/25471/29738/58971/24414/25505/288995/63883/365228/114032/29553/29753/29629/59324/117028/25103/171104/24660/24185/303926/307206/25229/66026/81721/140908/25049/65206/56718/499461/83805/81666/25590/114115/29707/24214/50646/65272/65023/29694/50592/25327/29480/29571/114850/309135/25101/691431/641520/24817/25398/25521/312896/117542/54239/171571/690575/60391/25399/140448/313564/117096/29209/192249/24316/65178/85275/497815/58942/24242/24244/50663/361705/29272/498922/294715/287110/363159/25248/89843/79246/24602/315606/116491/29701/29219/25456/116470/688993/24596/24406/29884/54240/689172/298487/89808/24397/50557/307562/291760/361967/24166/59312/81632/497770/24782/81658/25298/684516/24948/309242/114244/29693/245956/56827/24516/84685/297480/24947/29718/50563/26955/24807/81662/29386/24925/29686/29712/499497/24323/252857/360950/290533/286937/361833/29705/170899/100233213/24498/64574/24418/309757/83614/362524/65198/116600/64513/24835/81574/24887/29709/24766/29717/295922/24224/266760/24577/25054/25252/24922/689560/25404/140933/83731/25450/24225/315644/294961/117018/25576/56768/29716/63997/25238/24408/311191/681190,202
BP,GO:0001503,ossification,183/4834,438/18112,3.30243430797751e-12,3.621669624415336e-9,2.571843139142486e-9,294925/85272/24483/24790/79216/114107/84380/24392/293649/291228/302421/113955/100912012/29560/81707/501145/25512/114483/83476/304913/24831/312781/84352/303021/304334/29148/65035/29702/246334/311437/24185/24477/313860/81649/117273/116590/29175/24914/287644/24205/50646/83504/25205/315159/171356/679028/25285/24482/297096/65190/363455/252835/304988/682930/84402/361391/311604/367218/25690/29237/24518/25554/24484/362918/114031/25236/114111/313564/314910/24247/679787/114506/362165/83709/84580/84353/25622/29733/24882/303745/305386/59328/363294/116490/25483/315294/25431/114700/315196/29417/304581/94338/25608/114090/25495/25279/25296/315716/362246/140588/310849/170842/63839/58868/84023/63849/367100/116554/64637/81516/313757/25496/85489/360773/84046/503000/25654/690516/25614/24807/29597/287765/83837/81813/499497/315879/25587/300870/314280/291023/313922/140590/64032/116506/498333/498194/500863/302680/156726/310395/24498/50662/29263/304947/309288/24241/298744/679869/366542/684112/24835/685781/310461/499593/81733/50554/84582/24224/84399/25661/84426/364706/689008/303554/25586/294075/308718/171052/80722/286994/313689/81518/360863/85250/114593/367846/293701/79558/294408/315039/113882/308415/170818,183
BP,GO:0060562,epithelial tube morphogenesis,168/4834,396/18112,5.781269834042509e-12,5.434393643999958e-9,3.859106284708977e-9,362736/85272/360272/499745/24650/83721/305348/24392/293649/301346/25640/679713/501099/305999/84469/29560/81707/294503/362051/252833/300754/312781/25497/24390/361700/497991/94203/24855/266803/79225/64373/361828/308766/305230/289229/117273/83805/679693/305505/367242/171287/29748/171458/361472/25537/171356/679028/296789/360635/24482/25317/24771/287715/84402/29431/116466/79428/25690/311508/362918/25236/361517/309377/315713/360820/299979/24247/114502/306664/84580/84353/498328/310315/361769/24525/500308/25483/306657/316013/311622/290905/315217/84584/85471/366508/25267/114500/685072/308582/311331/25495/25296/316742/140588/361096/59312/65165/502935/64512/311071/59112/25026/58868/60445/64637/364634/83629/313757/25496/85489/84046/498819/503000/353305/297480/25154/299138/303968/29216/29397/299284/64303/24881/499497/58834/24323/297867/298894/500863/300128/24413/304947/316539/308577/366542/308739/24835/29492/81757/499593/307594/292912/25099/50554/24716/24224/114634/84399/24577/292770/361400/84426/58946/25252/689560/286994/114487/304883/314785/299802/303634/294276/79558/24326/307740/25406/24668/361419,168
BP,GO:0050803,regulation of synapse structure or activity,125/4834,273/18112,7.1058064648148964e-12,5.844525817310252e-9,4.150351960172807e-9,353230/294380/171393/309659/317235/116638/308913/688721/289820/192183/296374/297514/24410/266777/287989/29755/287986/65047/170641/303222/29629/24855/25466/25012/295695/65096/140908/81649/117273/24874/83572/171287/685472/280670/64622/64353/114850/113970/362235/79011/305227/29491/287418/117542/286928/54239/89816/171093/60391/361585/117096/56725/25479/25529/65178/497815/56029/498922/303599/313156/29219/306147/299236/117523/79121/171447/309349/50557/29650/59312/81732/192126/282587/24948/58868/84009/54276/50677/84685/306439/500280/25614/317181/499668/26955/307940/311055/299138/29386/500865/83501/499497/252857/246212/54323/679886/361601/291388/686779/290467/362876/301309/316539/24835/362173/84022/310461/313633/306183/117282/114634/25513/316205/25054/81677/171500/83684/24225/64865/366205/246217/24338/25147/307865/24408,125
BP,GO:0099504,synaptic vesicle cycle,114/4834,243/18112,8.760506851007668e-12,6.0000789929072144e-9,4.26081437362264e-9,65153/29144/64440/83721/25751/113893/25075/116638/296083/81803/364033/24803/25369/314641/81022/171131/81822/84360/295217/294318/25505/361342/100361138/60568/117028/25012/81721/140908/116728/25139/25590/114115/25549/289797/171337/116508/114850/113970/24675/25101/362235/29704/116657/29491/25731/361651/25398/64832/25521/25531/54239/84590/25130/89816/60391/117096/24473/24316/65178/83709/58942/84353/84573/24242/24244/50663/306055/287110/25248/81531/29219/116470/81820/60422/79121/29138/24805/25096/362842/140591/83612/60564/50557/60590/499903/315840/83589/24311/309129/24948/29693/301563/295347/191595/29597/81672/25716/83501/54241/252857/60565/311913/117559/362876/65198/116600/313409/287876/313934/305309/257648/56768/29716/116691,114
BP,GO:0099003,vesicle-mediated transport in synapse,124/4834,271/18112,9.118661083445614e-12,6.0000789929072144e-9,4.26081437362264e-9,65153/29144/64440/83721/84591/25751/113893/25075/116638/296083/81803/364033/24803/25369/314641/81022/171131/81822/84360/295217/294318/25505/361342/100361138/60568/117028/25012/81721/140908/25272/116728/25139/25590/114115/25549/29748/289797/171337/116508/114850/113970/24675/25101/362235/29704/116657/29491/25731/361651/25398/64832/25247/25521/25531/54239/84590/25130/89816/171571/60391/117096/24473/25479/24316/309532/65178/83709/58942/84353/84573/24242/24244/50663/306055/287110/25248/81531/29219/116470/81820/60422/79121/29138/24805/25096/362842/140591/84016/83612/60564/50557/60590/499903/315840/83589/24311/309129/24948/29693/301563/295347/191595/29597/81672/25716/83501/54241/252857/60565/311913/54323/117559/362876/81830/65198/116600/313409/287876/313934/305309/257648/56768/29716/116691,124
